uf_busca,cidade_busca,universidade_nome,campus_nome,nome,grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
PB,Joao Pessoa,Centro Universitário de João Pessoa - Unipê - UNIPÊ,CAMPUS UNIPÊ - Água Fria,Administração,Bacharelado,Matutino,529.00,5,4,,,609.94,607.20,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 01 - Miramar,Administração,Bacharelado,Curso a Distância,298.00,1,,,,582.64,,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 02 - Expedicionários,Administração,Bacharelado,Curso a Distância,298.00,,,1,,,,547.80,
PB,Joao Pessoa,Faculdade Devry João Pessoa - DVJP,CAMPUS SEDE - Miramar,Administração,Bacharelado,Noturno,864.67,,,,100,,,450.00,
PB,Joao Pessoa,Faculdade Devry João Pessoa - DVJP,CAMPUS SEDE - Miramar,Administração,Bacharelado,Matutino,864.67,,,,100,,,450.00,
PB,Joao Pessoa,Faculdade Dom Bosco - FDB,POLO JOÃO PESSOA - Centro,Administração,Bacharelado,Curso a Distância,1250.34,4,2,,,579.62,553.74,,
PB,Joao Pessoa,Faculdade Estácio da Paraíba - ESTÁCIO PARAÍBA,JOÃO PESSOA-IDEZ - Manaíra,Administração,Bacharelado,Noturno,598.57,2,2,,,585.52,571.90,,
PB,Joao Pessoa,Faculdade Estácio da Paraíba - ESTÁCIO PARAÍBA,JOÃO PESSOA-IDEZ - Manaíra,Administração,Bacharelado,Matutino,570.00,2,2,,,572.60,571.30,,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,FACULDADE INTERNACIONAL DA PARAÍBA - Tambiá,Administração,Bacharelado,Matutino,597.23,2,1,,,603.82,573.12,,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,FACULDADE INTERNACIONAL DA PARAÍBA - Tambiá,Administração,Bacharelado,Noturno,724.67,2,2,,,606.98,596.40,,
PB,Joao Pessoa,Faculdade Paraíbana - FAP,CAMPUS  - JOÃO PESSOA - MIRAMAR - Miramar,Administração,Bacharelado,Noturno,474.27,3,2,,,556.90,551.34,,
PB,Joao Pessoa,Faculdade Paraíbana - FAP,CAMPUS  - JOÃO PESSOA - MIRAMAR - Miramar,Administração,Bacharelado,Matutino,450.56,2,1,,,558.02,545.70,,
PB,Joao Pessoa,Faculdade Três Marias - FTM,JOAO PESSOA CENTRO - Miramar,Administração,Bacharelado,Noturno,711.31,2,2,,40,571.28,554.58,450.00,
PB,Joao Pessoa,Faculdade Uninabuco João Pessoa,UNIDADE SEDE - Tambiá,Administração,Bacharelado,Noturno,558.44,2,2,,,577.08,538.32,,
PB,Joao Pessoa,Faculdade Uninassau João Pessoa,FACULDADE MAURÍCIO DE NASSAU DE JOÃO PESSOA - Estados,Administração,Bacharelado,Noturno,744.59,1,,,,599.68,,,
PB,Joao Pessoa,Instituto de Educação Superior da Paraíba - IESP,CAMPUS  - JOÃO PESSOA - BESSA - BESSA,Administração,Bacharelado,Noturno,668.25,2,1,,,611.22,592.20,,
PB,Joao Pessoa,Instituto de Educação Superior da Paraíba - IESP,CAMPUS  - JOÃO PESSOA - BESSA - BESSA,Administração,Bacharelado,Matutino,520.20,2,1,,,579.40,581.56,,
PB,Joao Pessoa,Instituto Paraibano de Ensino Renovado - INPER,CAMPUS  - JOÃO PESSOA - JARDIM MARIZÓPOLIS - Jardim Marizópolis,Administração,Bacharelado,Matutino,450.56,2,1,,,548.66,553.46,,
PB,Joao Pessoa,Instituto Paraibano de Ensino Renovado - INPER,CAMPUS  - JOÃO PESSOA - JARDIM MARIZÓPOLIS - Jardim Marizópolis,Administração,Bacharelado,Noturno,199.00,16,12,,,562.78,551.30,,
PB,Joao Pessoa,Universidade Anhanguera - UNIDERP,JOAO PESSOA/PB (2008455) - Bancários,Administração,Bacharelado,Curso a Distância,269.00,2,1,,,577.86,557.82,,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Administração,Bacharelado,Curso a Distância,289.97,1,,,,554.08,,,
